5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5.20,4.25,3.57,3.06,2.67,2.35,2.09,1.88,1.69,1.54,1.40,1.28,1.18,1.08,1.00,0.93
4.64,3.78,3.17,2.71,2.36,2.07,1.84,1.64,1.48,1.34,1.21,1.11,1.01,0.93,0.85,0.79
4.08,3.32,2.77,2.36,2.04,1.79,1.58,1.41,1.26,1.14,1.03,0.93,0.85,0.77,0.71,0.65
3.52,2.85,2.37,2.01,1.73,1.51,1.33,1.18,1.05,0.94,0.84,0.76,0.68,0.62,0.56,0.51
2.96,2.38,1.97,1.66,1.42,1.23,1.07,0.94,0.83,0.74,0.65,0.58,0.52,0.46,0.41,0.37
2.40,1.92,1.57,1.31,1.11,0.95,0.82,0.71,0.62,0.54,0.47,0.41,0.35,0.31,0.26,0.23
1.84,1.45,1.17,0.96,0.80,0.67,0.56,0.48,0.40,0.34,0.28,0.23,0.19,0.15,0.12,0.09
